timestamp,error_message,error_details
2025-08-21 12:41:02.999,Both HTTP and Puppeteer failed for: https://www.reinsurancene.ws/news,"{""name"": ""Error"", ""step"": ""global-job-source-processing"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.reinsurancene.ws/news\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async NewsRadarScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:142294:16)\n    at async scrapeSource (/app/backend/dist/index.js:142321:26)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""jobType"": ""global-job-source-processing"", ""operation"": ""news-radar-global-scrape-source"", ""sourceName"": ""Reinsurance News"", ""globalJobRunning"": true}"
2025-08-21 12:41:02.992,Both HTTP and Puppeteer failed for: https://www.reinsurancene.ws/news,"{""name"": ""Error"", ""step"": ""source-scraping-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.reinsurancene.ws/news\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async NewsRadarScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:142294:16)\n    at async scrapeSource (/app/backend/dist/index.js:142321:26)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""jobType"": ""source-scraping-job"", ""operation"": ""news-radar-source-processing"", ""sourceName"": ""Reinsurance News"", ""errorOccurredAt"": ""2025-08-21T12:41:02.992Z""}"
2025-08-21 12:40:00.473,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/zelensky-ukraine-russia-trump-peace-talks.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/zelensky-ukraine-russia-trump-peace-talks.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 19, ""hasScrapingConfig"": false}"
2025-08-21 12:38:56.662,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/ukraine-russia-war-exchange-soldier-bodies.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/ukraine-russia-war-exchange-soldier-bodies.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 18, ""hasScrapingConfig"": false}"
2025-08-21 12:37:54.231,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/us/politics/trump-diversity-black-americans.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/us/politics/trump-diversity-black-americans.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 17, ""hasScrapingConfig"": false}"
2025-08-21 12:36:50.869,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/us/politics/stephen-miller-dc-crime-crackdown.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/us/politics/stephen-miller-dc-crime-crackdown.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 16, ""hasScrapingConfig"": false}"
2025-08-21 12:35:47.854,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/arts/design/nc-wyeth-mural-wilmington-delaware.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/arts/design/nc-wyeth-mural-wilmington-delaware.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 15, ""hasScrapingConfig"": false}"
2025-08-21 12:34:44.702,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/climate/delaware-living-shorelines.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/climate/delaware-living-shorelines.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 14, ""hasScrapingConfig"": false}"
2025-08-21 12:33:40.378,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/climate/maine-library-of-things.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/climate/maine-library-of-things.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 13, ""hasScrapingConfig"": false}"
2025-08-21 12:32:36.313,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/us/menendez-brothers-parole.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/us/menendez-brothers-parole.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 12, ""hasScrapingConfig"": false}"
2025-08-21 12:31:33.583,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/michael-boulos-tiffany-trump-business-deals.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/michael-boulos-tiffany-trump-business-deals.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 11, ""hasScrapingConfig"": false}"
2025-08-21 12:30:30.286,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/briefing/your-questions-about-psychedelics.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/briefing/your-questions-about-psychedelics.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 10, ""hasScrapingConfig"": false}"
2025-08-21 12:29:26.598,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/opinion/trump-economy-tariffs-data.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/opinion/trump-economy-tariffs-data.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 9, ""hasScrapingConfig"": false}"
2025-08-21 12:28:23.061,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/opinion/medicaid-conservative.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/opinion/medicaid-conservative.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 8, ""hasScrapingConfig"": false}"
2025-08-21 12:27:19.245,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/opinion/trump-constitution-unitary-executive.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/opinion/trump-constitution-unitary-executive.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 7, ""hasScrapingConfig"": false}"
2025-08-21 12:26:16.236,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/americas/brazil-us-rare-earth-minerals-tariffs.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/americas/brazil-us-rare-earth-minerals-tariffs.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 6, ""hasScrapingConfig"": false}"
2025-08-21 12:25:13.895,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/world/middleeast/gaza-city-israeli-operation.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/world/middleeast/gaza-city-israeli-operation.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 5, ""hasScrapingConfig"": false}"
2025-08-21 12:24:11.266,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/us/politics/redistricting-california-texas.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/us/politics/redistricting-california-texas.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 4, ""hasScrapingConfig"": false}"
2025-08-21 12:23:09.469,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/us/newsom-trump-social-media.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/20/us/newsom-trump-social-media.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 3, ""hasScrapingConfig"": false}"
2025-08-21 12:23:04.021,Both HTTP and Puppeteer failed for: https://therecord.media/,"{""name"": ""Error"", ""step"": ""global-job-source-processing"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://therecord.media/\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async ThreatTrackerScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:143123:16)\n    at async scrapeSource2 (/app/backend/dist/index.js:143354:28)\n    at async runGlobalScrapeJob2 (/app/backend/dist/index.js:143515:29)"", ""jobType"": ""global-job-source-processing"", ""operation"": ""threat-tracker-global-scrape-source"", ""sourceName"": ""The Record"", ""globalJobRunning"": true}"
2025-08-21 12:23:04.015,Both HTTP and Puppeteer failed for: https://therecord.media/,"{""name"": ""Error"", ""step"": ""source-scraping-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://therecord.media/\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async ThreatTrackerScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:143123:16)\n    at async scrapeSource2 (/app/backend/dist/index.js:143354:28)\n    at async runGlobalScrapeJob2 (/app/backend/dist/index.js:143515:29)"", ""jobType"": ""source-scraping"", ""operation"": ""threat-tracker-source-processing"", ""sourceName"": ""The Record"", ""errorOccurredAt"": ""2025-08-21T12:23:04.015Z""}"
2025-08-21 12:22:06.893,Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/aimee-betro-assassination-attempt-sentence.html,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.nytimes.com/2025/08/21/world/europe/aimee-betro-assassination-attempt-sentence.html\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141724:33)\n    at async NewsRadarScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:142297:16)\n    at async scrapeSource (/app/backend/dist/index.js:142371:21)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""operation"": ""news-radar-background-article-scraping"", ""sourceName"": ""NY Times"", ""totalArticles"": 19, ""processedCount"": 2, ""hasScrapingConfig"": false}"
